Agency,Account,State,Recipent,Project,Amount,Requested by,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,PA,Upper  Merion  Township  , Water  Pollution  Control  Center  Hydrothermal  Carbonization Equipment,"$1,092,000.00 ",Dean,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,PA,Upper Providence Township ,Second Avenue Force Main and Gravity Main Replacement Project,"$1,092,000.00 ",Dean,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,PA,West Norriton Township ,Rittenhouse Pump Station Force Main Replacement project,"$1,092,000.00 ",Dean,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CT,Naugatuck Valley Council of Governments ,Kinneytown Dam Sewer Relocation,"$1,093,276.00 ",DeLauro,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CT,Naugatuck Valley Council of Governments ,Kinneytown Water Sediment Removal,"$1,093,276.00 ",DeLauro,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WA,City of Bellevue ,Lake Washington Sanitary Sewer Lake Lines Program,"$500,000.00 ",DelBene,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WA,City of Bothell ,Woodcrest Utility Replacement Project,"$1,092,000.00 ",DelBene,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WA,City of Redmond ,AC Water Main Replacement,"$1,092,000.00 ",DelBene,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,PA,Municipal Water Authority of Aliquippa ,WWTP Final Clarifier Rehabilitation Project,"$900,000.00 ",Deluzio,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,Central  Contra  Costa  Sanitary  District  , Ultraviolet  (UV)  Disinfection  Replacement Project,"$1,092,000.00 ",DeSaulnier,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OR,City of Gresham ,Wastewater Treatment Nitrification Project,"$1,092,000.00 ",Dexter,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OR,City of Portland ,Wastewater Treatment Plant and Pump Reliability Project,"$1,092,000.00 ",Dexter,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OR,City of Sandy ,Wastewater Station Pipeline Project,"$1,092,000.00 ",Dexter,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Town of Medley ,Wastewater Pump Station Improvement Project,"$1,200,000.00 ",Diaz-Balart,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,City of Rockwood ,Wastewater Treatment Plant Infrastructure Improvement Plan,"$1,092,000.00 ",Dingell,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,City of Trenton ,Sewage Retention Basin Project,"$1,092,000.00 ",Dingell,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,Multi Lakes Water and Sewer Authority ,Pollution Prevention Project,"$580,000.00 ",Dingell,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,Ypsilanti Community Utilities Authority ,Water Main Improvement Project,"$1,092,000.00 ",Dingell,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,City of Austin ,Waterloo Greenway Creek Restoration and Water Quality Improvements,"$1,092,000.00 ",Doggett,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,Travis County ,McNeil Drive Drainage Improvements,"$1,092,000.00 ",Doggett,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MT,City of Billings ,Flume Replacement Project,"$1,000,000.00 ",Downing,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of DeFuniak Springs ,Wastewater System Upgrade,"$1,000,000.00 ",Dunn,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Washington  County  Board  of  County  Commissioners  , Water  and  Sewer  Infrastructure Improvement Project,"$750,000.00 ",Dunn,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,FL,Gadsden County ,Water System Improvement and Expansion Project,"$750,000.00 ",Dunn,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NC,Town of Spruce Pine ,Water Storage Tank Project,"$2,250,000.00 ",Edwards,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NC,Town of Elk Park ,Water Infrastructure Improvements,"$528,000.00 ",Edwards,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NC,Town of Franklin ,High Service Pump Replacement,"$2,000,000.00 ",Edwards,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Sartell ,Force Main project,"$2,000,000.00 ",Emmer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Norwood Young America ,Water Infrastructure Improvements,"$1,600,000.00 ",Emmer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Montrose ,Wastewater Treatment Plant Regionalization Project,"$2,000,000.00 ",Emmer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of St. Francis ,Water and Sewer Infrastructure Upgrades,"$2,000,000.00 ",Emmer,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Foley ,Water Treatment Plant and Well Construction,"$2,000,000.00 ",Emmer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Gilman ,Infrastructure Improvement Project,"$2,000,000.00 ",Emmer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,Laketown Township ,Community Sewer Improvement Project,"$2,000,000.00 ",Emmer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Big Lake ,Wastewater Treatment Plant Improvements,"$2,000,000.00 ",Emmer,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,El Paso County ,East Montana Water Tower Project,"$1,092,000.00 ",Escobar,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MS,City of Petal ,Wastewater Infrastructure Improvement Project,"$1,750,000.00 ",Ezell,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,LA,Lafayette Consolidated Government ,Water and Wastewater Laboratories Replacement Project,"$1,092,000.00 ",Fields,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,AL,City of Phenix ,Waste Water Collection System Rehabilitation,"$492,880.00 ",Figures,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,AL,The  Water  Works  and  Sewer  Board  of  the  City  of  Greenville  , Water  Supply  District Project,"$1,092,000.00 ",Figures,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Manchester ,Watermain Replacement Project,"$1,750,000.00 ",Finstad,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Eagle Lake ,Water Treatment Improvement Project,"$1,050,000.00 ",Finstad,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Butterfield ,Wastewater Treatment Facility Repairs,"$1,050,000.00 ",Finstad,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Rochester ,Sanitary Sewer Improvement Project,"$1,000,000.00 ",Finstad,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Pine Island ,Wastewater Treatment Facility,"$1,000,000.00 ",Finstad,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Trimont ,Water Infrastructure Improvements,"$1,000,000.00 ",Finstad,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Blooming Prairie ,Water Infrastructure Improvements,"$1,000,000.00 ",Finstad,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Okabena ,Water Distribution System Improvements,"$750,000.00 ",Finstad,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Pemberton ,Distribution System Repairs,"$800,000.00 ",Finstad,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Dennison ,Water Infrastructure Improvement Project,"$1,000,000.00 ",Finstad,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Nerstrand ,Water Infrastructure Improvements,"$1,000,000.00 ",Finstad,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of West Union ,Wastewater Infrastructure Improvement Project,"$1,000,000.00 ",Fischbach,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,Lake Henry ,Sewer System Replacement,"$500,000.00 ",Fischbach,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Elizabeth ,Sanitary Sewer Improvement Project,"$1,750,000.00 ",Fischbach,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Ruthton ,Water Tower Replacement,"$750,000.00 ",Fischbach,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,Lake Lillian ,Water System Updates,"$750,000.00 ",Fischbach,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,Hanley Falls ,Sewer and Water Main Replacement,"$750,000.00 ",Fischbach,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,Henderson ,Water Filtration Plant Construction,"$750,000.00 ",Fischbach,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Wheaton ,Water Main Pipe Replacement,"$750,000.00 ",Fischbach,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,Barnesville ,Water Improvement Project,"$750,000.00 ",Fischbach,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,Polk County ,Water Improvement Project,"$750,000.00 ",Fischbach,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TN,City of Oak Ridge ,Water Infrastructure Project,"$3,000,000.00 ",Fleischmann,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TN,Athens Utilities Board ,Water System Improvements,"$2,000,000.00 ",Fleischmann,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,City of Southside Place ,Edloe/Auden Sanitary Sewer Replacement Project,"$909,909.00 ",Fletcher,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NE,City of Scribner ,Wastewater Treatment Improvement Project,"$750,000.00 ",Flood,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of Visalia ,Groundwater Recharge Basin Project,"$2,000,000.00 ",Fong,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Tule River Indian Tribe of California,Water Transmission Improvement Project,"$1,250,000.00 ",Fong,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of Ridgecrest ,Wastewater Treatment Plant,"$1,000,000.00 ",Fong,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of Lemoore ,Water Meter Project,"$1,000,000.00 ",Fong,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,City of Crystal Lake ,Lead Service Line Replacement,"$1,092,000.00 ",Foster,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,City of Naperville ,Springbrook Water Reclamation Center Expansion,"$1,092,000.00 ",Foster,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,Northern Moraine Wastewater Reclamation District ,Darrell Road Collection System,"$1,092,000.00 ",Foster,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,Northern  Moraine  Wastewater  Reclamation  District  , Village  of  Holiday  Hills  Sanitary Sewer Extension Project,"$1,092,000.00 ",Foster,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Village of Wauconda ,Lead Service Line Replacement,"$1,092,000.00 ",Foster,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,City of Aurora ,Lead Service Line Replacement Project,"$1,092,000.00 ",Foster,Underwood
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NC,City of Mebane ,GE Pump Station and Force Main Improvement Project,"$1,092,000.00 ",Foushee,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NC,Durham County ,Page Park Lift Station Improvements,"$1,092,000.00 ",Foushee,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NC,Orange Water and Sewer Authority ,Clearwell Replacement Project,"$1,092,000.00 ",Foushee,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NC,Orange Water and Sewer Authority ,PFAS Treatment Facility Project,"$1,092,000.00 ",Foushee,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NC,Town of Fuquay-Varina ,Water Storage Tank Project,"$1,092,000.00 ",Foushee,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NC,Town of Holly Springs ,Harnett Regional Water Improvement Project,"$1,092,000.00 ",Foushee,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Boynton Beach ,Sanitary Sewer Collection System Improvement Project,"$800,000.00 ",Frankel,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,FL,Town of Lantana ,Water Treatment Plant Upgrades,"$1,092,000.00 ",Frankel,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,DeSoto County ,Wastewater Treatment Facility Expansion,"$1,500,000.00 ",Franklin,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Town of Lake Placid ,Septic-to-Sewer Project,"$2,500,000.00 ",Franklin,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Town of Lake Hamilton ,Wastewater Treatment Improvements,"$1,500,000.00 ",Franklin,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Auburndale ,Sewer Infrastructure Improvements,"$2,500,000.00 ",Franklin,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Bartow ,Sewer Lining Project,"$1,250,000.00 ",Franklin,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Polk County ,Water Supply Project,"$2,500,000.00 ",Franklin,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Lakeland ,Sewer Main Replacement Project,"$1,250,000.00 ",Franklin,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of Burbank ,Potable Reservoir Replacement,"$1,092,000.00 ",Friedman,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of Pasadena ,Water and Wastewater System Replacement,"$1,092,000.00 ",Friedman,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Orlando ,Stormwater Management Project,"$800,000.00 ",Frost,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Orange County Utilities Department ,Aquifer Storage and Injection Feasibility Project,"$1,092,000.00 ",Frost,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,SC,City of Florence ,Water Treatment Facility Expansion,"$2,250,000.00 ",Fry,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,SC,Town of Pawleys Island ,Stormwater Improvement Project,"$1,000,000.00 ",Fry,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,Contra Costa Sanitary District ,Central Sanitation Air Diffuser System Upgrade,"$1,092,000.00 ",Garamendi,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,Delta Diablo ,Wastewater Pipeline Replacement,"$1,000,000.00 ",Garamendi,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,Vallejo Flood and Wastewater District ,Mare Island Sewer Rehabilitation,"$1,092,000.00 ",Garamendi,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Village of Amityville ,Sewer Pump Project,"$800,000.00 ",Garbarino,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Nassau County ,Outfall Diffuser Project,"$1,000,000.00 ",Garbarino,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Town of Brookhaven ,Sanitary Sewer Infrastructure Project,"$1,000,000.00 ",Garbarino,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,County of Suffolk ,West Babylon Sewer Expansion Project,"$1,000,000.00 ",Garbarino,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,County of Suffolk ,Wise County Sewer Expansion Project,"$1,000,000.00 ",Garbarino,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,Village of Hinsdale ,Sixth Street Reconstruction and Utility Project,"$1,092,000.00 ",Garcia (IL),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Leyden Township ,Water Main and Lead Service Line Replacement Project,"$1,092,000.00 ",Garcia (IL),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Town of Cicero ,South Side Water Pumping Station Improvement,"$1,092,000.00 ",Garcia (IL),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Village of Berkeley ,Section 2 Lead Service Line Replacement Project,"$1,024,207.00 ",Garcia (IL),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Village of Melrose Park ,Winston Park Water Main Improvements,"$1,092,000.00 ",Garcia (IL),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,Harris County Pollution Control Services ,Satellite Location,"$1,000,000.00 ",Garcia (TX),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,Jacinto City ,Safe Drinking Water Project,"$1,092,000.00 ",Garcia (TX),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,Wise County Water Control and Improvement District 1 ,Regional Wastewater Study,"$240,000.00 ",Gill,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,Wise County Water Control and Improvement District 1 ,Water Supply Study,"$1,300,000.00 ",Gill,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,City of Long Beach ,Sand Filter Tank Replacement,"$1,092,000.00 ",Gillen,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Village of Hempstead ,Water Treatment Upgrades,"$1,092,000.00 ",Gillen,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,FL,Florida Keys Aqueduct Authority ,Water Transmission Improvement Project,"$750,000.00 ",Gimenez,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,ME,Town of Wilton ,Water Main System Upgrade,"$1,092,000.00 ",Golden,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,City of Somerset ,Wastewater System Expansion,"$1,250,000.00 ",Gonzales,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,Uvalde County ,New Wells Project,"$1,250,000.00 ",Gonzales,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,City of San Benito ,Storage Tank at San Benito Water Treatment Plant No. 2,"$1,092,000.00 ",Gonzalez,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,North Alamo Water Supply Corporation ,Water Distribution Improvement Project,"$1,000,000.00 ",Gonzalez,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,City of Kaufman ,Wastewater Treatment Plant Upgrades,"$1,000,000.00 ",Gooden,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NH,Town of Newport ,Water Distribution System Replacement Project,"$640,000.00 ",Goodlander,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Borough of Cresskill ,Tenakill Brook Watershed Clean Water Initiative,"$1,092,000.00 ",Gottheimer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Borough of Dumont ,Sewer Integrity Support Project,"$1,043,120.00 ",Gottheimer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Borough of Fair Lawn ,Sewer Pipeline Rehabilitation,"$1,092,000.00 ",Gottheimer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Borough of Fort Lee,Sewer Improvements,"$184,000.00 ",Gottheimer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Borough of Palisades Park ,Grand Avenue Sewer Main Replacement Project,"$1,000,000.00 ",Gottheimer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Sussex County Municipal Utilities Authority ,Wastewater Treatment Project,"$1,092,000.00 ",Gottheimer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Township of Washington ,Stream Restoration Project,"$600,000.00 ",Gottheimer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of Dos Palos ,Wastewater Treatment Facility Project,"$1,092,000.00 ",Gray,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of Coalinga ,Sodium Hydroxide Storage and Injection Facility Project,"$1,092,000.00 ",Gray,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,Missouri City ,Well Capacity Expansion Project,"$1,092,000.00 ",Green,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,GA,Walker County Water and Sewerage Authority ,Water Infrastructure Improvements,"$700,000.00 ",Greene,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,GA,Whitfield County ,Sewer System Expansion,"$650,000.00 ",Greene,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,GA,Floyd County ,Well Design and Construction Project,"$650,000.00 ",Greene,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,GA,Paulding County Board of Commissioners ,Wastewater Reroute Project,"$750,000.00 ",Greene,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,VA,Bedford Regional Water Authority ,Sanitary Sewer System Replacement,"$750,000.00 ",Griffith,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MS,Town of Sanderville ,Water Infrastructure Improvements,"$2,080,000.00 ",Guest,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MS,City of Meridian ,Water Storage Facility Project,"$1,500,000.00 ",Guest,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MS,City of Starkville ,Wastewater Treatment Plant Improvements,"$1,500,000.00 ",Guest,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MS,City of Brandon ,Water Storage Tank Project,"$1,250,000.00 ",Guest,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,KY,City of Vine Grove ,Water Line Improvements,"$817,491.00 ",Guthrie,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,KY,City of Greenville ,Wastewater Treatment Plant Rehabilitation,"$854,400.00 ",Guthrie,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,KY,City of Auburn ,Water Line Replacement,"$656,000.00 ",Guthrie,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,KY,Louisville  and  Jefferson  County  Metropolitan  Sewer  District  , Wastewater  Collection System Rehabilitation,"$750,000.00 ",Guthrie,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WY,City of Casper ,Sanitary Sewer Project,"$1,750,000.00 ",Hageman,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WY,Northern Arapaho Tribe ,Wastewater System Improvement Project,"$1,000,000.00 ",Hageman,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WY,City of Mills ,Water Distribution Upgrades,"$1,000,000.00 ",Hageman,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WY,Town of Jackson ,Sewer Infrastructure Improvements,"$1,000,000.00 ",Hageman,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of Escalon ,SSJID Surface Water Connection Project,"$1,092,000.00 ",Harder,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,FL,City of West Melbourne ,Reverse Osmosis Water Production Facility,"$1,250,000.00 ",Haridopolos,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Space Florida ,Wastewater Treatment Plant Expansion,"$800,000.00 ",Haridopolos,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Brevard County ,Sewer Expansion,"$800,000.00 ",Haridopolos,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Cocoa ,Septic-to-Sewer Conversion Project,"$1,250,000.00 ",Haridopolos,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Brevard County ,Water Quality Improvement Project,"$1,000,000.00 ",Haridopolos,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Palm Bay ,Water Quality Improvement Projects,"$1,800,000.00 ",Haridopolos,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Brevard County ,Stormwater Drainage Improvements Phase IV,"$1,000,000.00 ",Haridopolos,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NC,Lincoln County ,Transmission Line Project,"$2,000,000.00 ",Harrigan,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MD,City of Aberdeen ,Water Infrastructure Upgrades,"$2,000,000.00 ",Harris (MD),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MD,Worcester County ,Water Treatment Plant Replacement,"$2,550,000.00 ",Harris (MD),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MD,Town of North East ,Pump Station Project,"$1,950,000.00 ",Harris (MD),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TN,City of Elizabethton ,Water Main Extension,"$828,576.00 ",Harshbarger,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TN,Town of Mosheim ,Wastewater Treatment Plant Upgrades,"$750,000.00 ",Harshbarger,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TN,Bloomingdale Utility District ,Water Treatment Plant Improvements,"$800,000.00 ",Harshbarger,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CT,City of Torrington ,Toro Field Siphon Abandonment and Sewer Replacement Technology,"$1,092,000.00 ",Hayes,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,LA,Lafayette Consolidated Government ,Water Line Replacement,"$1,000,000.00 ",Higgins,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,LA,Jefferson Davis Parish ,Rural Water District Improvements,"$750,000.00 ",Higgins,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,LA,City of New Iberia ,Pump Station Construction,"$750,000.00 ",Higgins,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CT,City of Stamford,Stormwater Management Improvements,"$1,092,000.00 ",Himes,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CT,Town of New Canaan ,Wastewater Treatment UV System Replacement,"$1,092,000.00 ",Himes,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CT,Town of Trumbull ,Beardsley Pump Station and Force Main Replacement,"$1,092,000.00 ",Himes,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IA,City of Dubuque ,Water Improvement Project,"$2,000,000.00 ",Hinson,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IA,City of Independence ,Wastewater Treatment Plant Modernization,"$2,000,000.00 ",Hinson,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IA,City of Dyersville ,Westlinden Lift Station Project,"$1,200,000.00 ",Hinson,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NV,City of North Las Vegas ,Losee Wash Diversion Project,"$1,092,000.00 ",Horsford,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NV,Clark County Water Reclamation District ,Wastewater Treatment Facility Project,"$1,092,000.00 ",Horsford,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NV,Las Vegas Valley Water District ,Kyle Canyon Discharge Line Project,"$1,092,000.00 ",Horsford,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NV,Moapa Valley Water District ,Water Transmission Line Project,"$1,092,000.00 ",Horsford,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NV,Virgin Valley Water District ,Main Transmission Line Replacement,"$1,092,000.00 ",Horsford,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IN,Brown County Regional Sewer District ,Wastewater Treatment Plant Project,"$3,700,000.00 ",Houchin,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IN,City of Bloomington Utilities ,Water Treatment Plant Project,"$1,250,000.00 ",Houchin,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IN,City of Madison ,Stormwater Management Project,"$1,000,000.00 ",Houchin,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MD,Town of Indian Head ,Anchor Point Booster Station Wellhouse Design and Construction Project,"$1,092,000.00 ",Hoyer,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MD,Town of Indian Head ,Mattawoman Woods and Dogwood Lift Station Project,"$800,000.00 ",Hoyer,
