Agency,Account,State,Recipient,Project, Amount ,Requested by,Requested by 2
Department of Education,Higher Education, KS,Salina Area Technical College, the purchase of equipment,"$200,000 ",Moran,
Department of Education,Higher Education, UT,Salt Lake Community College," purchase equipment, technology, and supplies","$1,357,000 ",Curtis,
Department of Education,Higher Education, MI,Schoolcraft Community College District," an apprenticeship program, including purchasing equipment and providing financial aid and student stipends","$2,000,000 ",Peters,
Department of Education,Higher Education, NY,Siena College," STEM education, including purchasing equipment and providing stipends","$1,000,000 ",Schumer,
Department of Education,Higher Education, SD,South Dakota State University—College of Nursing, the purchase of equipment and supplies,"$2,953,000 ",Rounds,
Department of Education,Higher Education, SD,South Dakota State University," curriculum development, including the purchase of technology","$750,000 ",Rounds,
Department of Education,Higher Education, AR,Southern Arkansas University Tech, the purchase of equipment and supplies,"$5,000,000 ",Boozman,
Department of Education,Higher Education, VA,Southside Virginia Community College," improving criminal justice education programs, which may include purchasing equipment and providing financial aid","$940,000 ",Kaine, Warner
Department of Education,Higher Education, GA,Spelman College," expand educational opportunities, including the purchase of equipment and paying rental costs","$1,000,000 ",Ossoff, Warnock
Department of Education,Higher Education, MN,St. Cloud Technical & Community College," improving an aircraft maintenance training program, including purchasing equipment and student supplies","$1,154,000 ",Klobuchar, Smith
Department of Education,Higher Education, MA,The Civic Action Project Inc," an education fellowship program, including providing financial aid and stipends","$100,000 ",Markey, Warren
Department of Education,Higher Education, NJ,The College of New Jersey," expanding education programs, including purchasing vans, providing financial aid and stipends, and providing internships","$660,000 ",Kim,
Department of Education,Higher Education, ME,Thomas College," STEM education, including curriculum and the purchase of equipment, technology, and supplies","$1,100,000 ",Collins, King
Department of Education,Higher Education, SC,Tri-County Technical College, the purchase of equipment,"$1,000,000 ",Graham,
Department of Education,Higher Education, SC,Trident Technical College," support maritime trades education, including the purchase of equipment and supplies","$1,500,000 ",Graham,
Department of Education,Higher Education, AL,Tuskegee University," an aviation and aerotechnology program, including scholarships","$5,290,000 ",Britt,
Department of Education,Higher Education, AK,University of Alaska Southeast," professional development, including the purchase of equipment","$855,000 ",Murkowski,
Department of Education,Higher Education, AR,University of Arkansas-Fayetteville, support national security education,"$750,000 ",Boozman,
Department of Education,Higher Education, ME,University of Maine System, the purchase of equipment,"$500,000 ",Collins,
Department of Education,Higher Education, ME,University of Maine System, the purchase of equipment and supplies,"$2,400,000 ",Collins, King
Department of Education,Higher Education, AL,University of Montevallo, nursing education equipment and supplies,"$1,000,000 ",Britt,
Department of Education,Higher Education, NV,University of Nevada Las Vegas," expanding apprenticeships, including the purchase of equipment and supplies","$2,817,000 ",Cortez Masto, Rosen
Department of Education,Higher Education, NM,University of New Mexico," a teacher residency program, including providing stipends","$512,000 ",Heinrich,Lujan
Department of Education,Higher Education, CO,University of Northern Colorado Foundation," improving science education, including the purchase of equipment","$300,000 ",Bennet, Hickenlooper
Department of Education,Higher Education, SC,University of South Carolina, curriculum development,"$500,000 ",Graham,
Department of Education,Higher Education, SC,University of South Carolina," curriculum development, including the purchase of technology and supplies","$1,000,000 ",Graham,
Department of Education,Higher Education, VT,University of Vermont and State Agricultural College," expanding education, including purchasing equipment and providing tuition","$2,700,000 ",Welch,
Department of Education,Higher Education, AL,University of West Alabama, nursing education facilities and equipment,"$1,800,000 ",Britt,
Department of Education,Higher Education, CT,Urban League of Greater Hartford Inc," college success programming including financial aid and stipends, school supplies, and the purchase of technology equipment","$500,000 ",Blumenthal, Murphy
Department of Education,Higher Education, VT,Vermont State Colleges System," education and training, including the purchase of equipment","$2,500,000 ",Welch,
Department of Education,Higher Education, VA,Virginia Commonwealth University," supporting internship opportunities that provide work-based learning experiences, which may include stipends and scholarships","$430,000 ",Kaine, Warner
Department of Education,Higher Education, KS,Washburn Institute of Technology, the purchase of equipment,"$1,600,000 ",Moran,
Department of Education,Higher Education, WA,Washington State University," expanding health care pathways programs, including the purchase of equipment","$915,000 ",Murray,
Department of Education,Higher Education, IL,Waubonsee Community College," improving education opportunities for parenting students, including purchasing technology upgrades and accessible furniture","$450,000 ",Duckworth,
Department of Education,Higher Education, CT,Wesleyan University," improving education programs, including providing financial aid and scholarships","$1,000,000 ",Blumenthal, Murphy
Department of Education,Higher Education, WV,West Virginia Wesleyan College," improving heating and cooling systems, which may include the purchase of equipment","$2,583,000 ",Capito,
Department of Education,Higher Education, CO,Western Colorado University," nursing education, including the purchase of equipment and technology, financial aid for students, and supportive services for students","$1,940,000 ",Bennet, Hickenlooper
Department of Education,Higher Education, MI,Western Michigan University," education and training in aviation, including purchasing equipment","$819,000 ",Peters,
Department of Education,Higher Education, NV,Western Nevada College," culinary education, including the purchase of equipment","$1,450,000 ",Cortez Masto, Rosen
Department of Education,Higher Education, OK,Western Oklahoma State College, the purchase of equipment and technology,"$3,500,000 ",Mullin,
Department of Education,Higher Education, MD,Wor-Wic Community College," education and training in the culinary arts, including the purchase of equipment","$223,000 ",Alsobrooks, Van Hollen
Department of Health & Human Services,Health Resources and Services Administration, GA,Abraham Baldwin Agricultural College, facilities and equipment to improve rural nurse education,"$424,000 ",Warnock,
Department of Health & Human Services,Health Resources and Services Administration, OR,Addictions Recovery Center Inc (ARC), facilities and equipment to construct a residential treatment facility,"$1,400,000 ",Merkley, Wyden
Department of Health & Human Services,Health Resources and Services Administration, AZ,Adelante Healthcare Inc, facilities and equipment to expand a health center,"$2,500,000 ",Gallego, Kelly
Department of Health & Human Services,Health Resources and Services Administration, GA,AdventHealth Redmond, equipment to provide ambulance services,"$934,000 ",Ossoff,
Department of Health & Human Services,Health Resources and Services Administration, KS,AdventHealth Shawnee Mission, facilities and equipment to expand high-risk maternal fetal clinic,"$1,000,000 ",Moran,
Department of Health & Human Services,Health Resources and Services Administration, PA,AIDS Resource Alliance Inc, equipment to purchase a mobile clinic,"$375,000 ",Fetterman,
Department of Health & Human Services,Health Resources and Services Administration, AK,Alaska—Division of Public Health State Medical Examiner’s Office, facilities and equipment for acquisition and installation of x-ray imaging machine,"$550,000 ",Murkowski,
Department of Health & Human Services,Health Resources and Services Administration, AK,Alaska Native Tribal Health Consortium, facilities and equipment to renovate and upgrade operating room recovery space and perioperative bays,"$1,500,000 ",Murkowski,
Department of Health & Human Services,Health Resources and Services Administration, AK,Alaska Primary Care Association, establish the Alaska Graduate Medical Education (GME) council and support GME expansion,"$2,000,000 ",Murkowski,
Department of Health & Human Services,Health Resources and Services Administration, GA,Albany Area Primary Health Care Inc, facilities and equipment to expand a medical center,"$1,806,000 ",Ossoff,
Department of Health & Human Services,Health Resources and Services Administration, PA,Alternative Community Resource Program, facilities and equipment to renovate a behavioral health clinic,"$1,000,000 ",Fetterman,
Department of Health & Human Services,Health Resources and Services Administration, NM,Amador Health Center Inc, facilities and equipment to construct counseling space,"$516,000 ",Lujan,
Department of Health & Human Services,Health Resources and Services Administration, OR,Amani Center, facilities and equipment to construct a child services center,"$1,023,000 ",Merkley, Wyden
Department of Health & Human Services,Health Resources and Services Administration, MN,Amherst H. Wilder Foundation, facilities and equipment to expand access to substance use disorder treatment,"$1,500,000 ",Klobuchar, Smith
Department of Health & Human Services,Health Resources and Services Administration, NH,Ammonoosuc Community Health Services Inc, facilities and equipment to weatherize and improve accessibility for a health clinic,"$250,000 ",Shaheen,
Department of Health & Human Services,Health Resources and Services Administration, NH,Amoskeag Health, equipment to improve clinic safety and establish a new service site,"$485,000 ",Shaheen,
Department of Health & Human Services,Health Resources and Services Administration, AK,Anchorage Community Mental Health Services Inc dba Alaska Behavioral Health, facilities and equipment to renovate facilities in Anchorage and Fairbanks to allow expanded mental health residential treatment,"$1,950,000 ",Murkowski,
Department of Health & Human Services,Health Resources and Services Administration, AK,Anchorage Fire Department, facilities and equipment to construct a decontamination unit,"$1,090,000 ",Murkowski,
Department of Health & Human Services,Health Resources and Services Administration, NY,Anderson Center for Autism, facilities and equipment to install a septic system,"$1,064,000 ",Gillibrand,
Department of Health & Human Services,Health Resources and Services Administration, SC,AnMed Health System," acquisition of imaging, lab, and pharmacy equipment","$3,800,000 ",Graham,
Department of Health & Human Services,Health Resources and Services Administration, NH,Archways, facilities and equipment to improve access to substance use disorder treatment,"$300,000 ",Shaheen,
Department of Health & Human Services,Health Resources and Services Administration, AR,Arkansas Department of Health," the acquisition of clinical practice technology, remote patient health tools, telehealth hardware and software, and electronic medical records upgrades","$13,300,000 ",Boozman,
Department of Health & Human Services,Health Resources and Services Administration, AR,Arkansas State University Newport," facilities and equipment for Nursing and Health Professions Facility and purchase of academic, telehealth, mental health, and student health and wellness technology","$7,700,000 ",Boozman,
Department of Health & Human Services,Health Resources and Services Administration, AR,Arkansas State University, facilities and equipment for construction of Mental and Maternal-Infant Healthcare Simulation Building,"$9,000,000 ",Boozman,
Department of Health & Human Services,Health Resources and Services Administration, GA,Athens Model Neighborhood Health Center Inc, equipment to purchase mobile units,"$1,001,000 ",Ossoff,
Department of Health & Human Services,Health Resources and Services Administration, NJ,Atlantic Health System, facilities and equipment to expand access to mammography services,"$750,000 ",Booker,
Department of Health & Human Services,Health Resources and Services Administration, NJ,AtlanticCare Health System, facilities and equipment to provide an emergency power supply,"$1,000,000 ",Booker,
Department of Health & Human Services,Health Resources and Services Administration, GA,Augusta University, equipment to improve cancer treatment,"$800,000 ",Ossoff,
Department of Health & Human Services,Health Resources and Services Administration, GA,Augusta University, equipment to support training of medical students,"$630,000 ",Warnock,
Department of Health & Human Services,Health Resources and Services Administration, SD,Avera Health, facilities and equipment to support the acquisition and installation of fixed PET/CT scanner and linear accelerators,"$10,175,000 ",Rounds,
Department of Health & Human Services,Health Resources and Services Administration, VA,Bailey’s Crossroads Health Access Partnership Inc (D/B/A Culmore Clinic), facilities and equipment to construct a new medical clinic,"$550,000 ",Kaine, Warner
Department of Health & Human Services,Health Resources and Services Administration, VA,Bath Community Hospital, equipment to purchase an ambulance,"$289,000 ",Kaine, Warner
Department of Health & Human Services,Health Resources and Services Administration, WI,Bayfield County, establishing a rural first-responders program,"$300,000 ",Baldwin,
Department of Health & Human Services,Health Resources and Services Administration, DE,Beebe Medical Center, facilities and equipment to construct a primary care clinic,"$1,775,000 ",Coons,
Department of Health & Human Services,Health Resources and Services Administration, NH,Behavioral Health and Developmental Services of Strafford County Inc, facilities and equipment to improve access to behavioral health services,"$110,000 ",Shaheen,
Department of Health & Human Services,Health Resources and Services Administration, SD,Bennett County Hospital & Nursing Home," facilities and equipment for new hospital construction that will support emergency services, primary care, swing bed services, behavioral health programs, and other ancillary services","$2,551,000 ",Rounds,
Department of Health & Human Services,Health Resources and Services Administration, HI,Blood Bank of Hawaii, equipment to purchase a blood donation center,"$1,000,000 ",Hirono,
Department of Health & Human Services,Health Resources and Services Administration, WA,Blue Mountain Heart to Heart, facilities and equipment to increase access to substance use disorder treatment,"$1,000,000 ",Cantwell,
Department of Health & Human Services,Health Resources and Services Administration, IL,Board of Trustees of the University of Illinois, facilities and equipment to expand a dental clinic,"$700,000 ",Durbin,
Department of Health & Human Services,Health Resources and Services Administration, ME,Bridgton Hospital," facilities and equipment to renovate, expand, and provide diagnostic and patient room equipment for the Emergency Department","$5,000,000 ",Collins,
Department of Health & Human Services,Health Resources and Services Administration, VA,Brightpoint Community College, facilities and equipment to support health professions training,"$296,000 ",Kaine, Warner
Department of Health & Human Services,Health Resources and Services Administration, ME,Bucksport Regional Health Center," facilities and equipment to support construction, renovation, and purchase of dental equipment to expand dental services","$1,980,000 ",Collins,
Department of Health & Human Services,Health Resources and Services Administration, AZ,Bullhead City Fire District, equipment to provide ambulance services,"$294,000 ",Gallego, Kelly
Department of Health & Human Services,Health Resources and Services Administration, MN,C.A.R.E. Clinic, facilities and equipment to improve training for health professionals,"$1,100,000 ",Klobuchar, Smith
Department of Health & Human Services,Health Resources and Services Administration, ME,Calais Community Hospital, facilities and equipment to expand Rural Health Clinic,"$4,990,000 ",Collins, King
Department of Health & Human Services,Health Resources and Services Administration, AK,Camai Community Health Center," facilities and equipment to expand and modernize health center for mental health, emergency services, and diagnostic capabilities and provide critical infrastructure upgrades","$3,000,000 ",Murkowski,
Department of Health & Human Services,Health Resources and Services Administration, PA,Cameron County Ambulance Service, equipment to provide ambulance services,"$250,000 ",Fetterman,
Department of Health & Human Services,Health Resources and Services Administration, OK,Caring Hands Healthcare Centers Inc., facilities and equipment to support construction of new primary care clinic,"$950,000 ",Mullin,
Department of Health & Human Services,Health Resources and Services Administration, MD,CCYSB, facilities and equipment to expand a behavioral health and substance use treatment facility,"$1,000,000 ",Alsobrooks, Van Hollen
Department of Health & Human Services,Health Resources and Services Administration, LA,Centenary College, facilities and equipment for construction and renovation for the Centenary College School of Health Sciences,"$10,000,000 ",Cassidy, Kennedy
Department of Health & Human Services,Health Resources and Services Administration, WA,Center Senior Living, facilities and equipment for an assisted living facility,"$1,000,000 ",Cantwell,
Department of Health & Human Services,Health Resources and Services Administration, AZ,Central Arizona Fire and Medical Authority, equipment to provide ambulance services,"$750,000 ",Gallego, Kelly
Department of Health & Human Services,Health Resources and Services Administration, ME,Central Maine Highland Fire & EMS District 1, equipment to purchase new ambulances for regional EMS,"$1,875,000 ",Collins,
Department of Health & Human Services,Health Resources and Services Administration, WV,Charleston Area Medical Center, equipment for technical infrastructure upgrades and cybersecurity technology,"$15,000,000 ",Capito, Justice
Department of Health & Human Services,Health Resources and Services Administration, GA,CHI Memorial Hospital—Georgia, equipment to improve patient monitoring and emergency response,"$964,000 ",Ossoff, Warnock
Department of Health & Human Services,Health Resources and Services Administration, MD,Children’s Inn at NIH Inc, facilities and equipment to construct residential spaces for pediatric patients,"$620,000 ",Alsobrooks, Van Hollen
Department of Health & Human Services,Health Resources and Services Administration, MD,Children’s National Medical Center, equipment to expand access to pediatric care through a mobile unit,"$600,000 ",Alsobrooks, Van Hollen
Department of Health & Human Services,Health Resources and Services Administration, ME,Children’s Oral Health Network of Maine, acquisition of equipment to train dental hygienists,"$525,000 ",Collins,
Department of Health & Human Services,Health Resources and Services Administration, DE,Christiana Care Health Services, facilities and equipment to construct an urgent care facility,"$4,008,000 ",Coons,
Department of Health & Human Services,Health Resources and Services Administration, AZ,Circle the City, facilities and equipment to expand a health center,"$840,000 ",Gallego, Kelly
Department of Health & Human Services,Health Resources and Services Administration, NJ,City of Bridgeton, equipment to expand rural healthcare and purchase an ambulance,"$435,000 ",Kim,
Department of Health & Human Services,Health Resources and Services Administration, NV,City of Carlin Volunteer Fire Department, equipment to improve cardiac care,"$98,000 ",Cortez Masto, Rosen
Department of Health & Human Services,Health Resources and Services Administration, IL,City of Chicago, facilities and equipment to construct a senior center,"$2,000,000 ",Duckworth,
Department of Health & Human Services,Health Resources and Services Administration, WV,City of Clarksburg," renovations, functional fitness equipment, development of training, and conducting cancer screenings to support City of Clarksburg’s Cancer Screening for Firefighters program","$214,000 ",Capito,
Department of Health & Human Services,Health Resources and Services Administration, GA,City of East Point, equipment to provide ambulance services,"$302,000 ",Ossoff,
Department of Health & Human Services,Health Resources and Services Administration, AL,City of Enterprise, facilities and acquisition to purchase and install surgical robot,"$3,000,000 ",Britt,
Department of Health & Human Services,Health Resources and Services Administration, AK,City of Fairbanks, equipment to purchase medical ambulance bus and emergency medical equipment,"$728,000 ",Murkowski,
Department of Health & Human Services,Health Resources and Services Administration, VA,City of Lexington, facilities and equipment to construct a primary care clinic,"$2,500,000 ",Kaine, Warner
Department of Health & Human Services,Health Resources and Services Administration, AZ,City of Maricopa, equipment to provide ambulance services,"$867,000 ",Gallego, Kelly
Department of Health & Human Services,Health Resources and Services Administration, PA,City of Meadville Fire Department," acquisition of vehicles, cardiac technology, and telehealth equipment and to support personnel for a new Mobile Integrated Health unit","$1,180,000 ",McCormick,
Department of Health & Human Services,Health Resources and Services Administration, NE,City of O’Neill, facilities and equipment for construction to support replacement and installation of boiler and water heating systems,"$3,500,000 ",Fischer,
Department of Health & Human Services,Health Resources and Services Administration, GA,City of Valdosta, equipment to purchase a vehicle,"$328,000 ",Ossoff,
Department of Health & Human Services,Health Resources and Services Administration, NV,City of Wells, facilities and equipment to expand primary care services and purchase a vehicle,"$227,000 ",Cortez Masto, Rosen
Department of Health & Human Services,Health Resources and Services Administration, AZ,City of Winslow, a rural emergency response program and purchase of defibrillators,"$68,000 ",Gallego, Kelly
Department of Health & Human Services,Health Resources and Services Administration, OR,Clackamas County, facilities and equipment to improve access to substance use disorder services,"$2,500,000 ",Merkley, Wyden
Department of Health & Human Services,Health Resources and Services Administration, GA,Clinch County Hospital Authority, equipment to provide imaging and ambulance services,"$450,000 ",Ossoff,
Department of Health & Human Services,Health Resources and Services Administration, SC,Coastal Carolina University, acquisition of nurse simulation laboratory equipment and nursing and health sciences education and training equipment,"$2,400,000 ",Graham,
Department of Health & Human Services,Health Resources and Services Administration, RI,CODAC Behavioral Healthcare, facilities and equipment to improve accessibility,"$851,000 ",Reed, Whitehouse
Department of Health & Human Services,Health Resources and Services Administration, NY,Cold Spring Harbor Laboratory, equipment to support neurodegenerative disease research,"$2,000,000 ",Schumer,
Department of Health & Human Services,Health Resources and Services Administration, CO,Colorado State University, facilities and equipment to support a nurse training program,"$1,500,000 ",Bennet, Hickenlooper
Department of Health & Human Services,Health Resources and Services Administration, GA,Columbus Consolidated Government, equipment to provide healthcare to veterans and software purchases,"$216,000 ",Ossoff, Warnock
Department of Health & Human Services,Health Resources and Services Administration, HI,Community Clinic of Maui Inc dba Malama I Ke Ola Health Center, facilities and equipment for health information infrastructure and an electronic health records system,"$1,536,000 ",Hirono,
Department of Health & Human Services,Health Resources and Services Administration, RI,Community College of Rhode Island, facilities and equipment to expand health care training facilities,"$2,390,000 ",Reed, Whitehouse
Department of Health & Human Services,Health Resources and Services Administration, ME,Community Dental, facilities and equipment to expand dental services,"$2,334,000 ",King,
Department of Health & Human Services,Health Resources and Services Administration, GA,Community Health Care Systems Inc, equipment to purchase a mobile clinic,"$472,000 ",Ossoff,
Department of Health & Human Services,Health Resources and Services Administration, IL,Community Health Care Inc, equipment to improve dental services,"$328,000 ",Durbin,
Department of Health & Human Services,Health Resources and Services Administration, MA,Community Health Connections Inc., facilities and equipment to improve accessibility,"$1,500,000 ",Markey, Warren
Department of Health & Human Services,Health Resources and Services Administration, WV,Concord University, facilities and equipment for construction of the Center for Rural Healthcare Workforce Solutions,"$7,500,000 ",Capito, Justice
Department of Health & Human Services,Health Resources and Services Administration, WI,Concordia University Inc, facilities and equipment to renovate nurse training facilities,"$753,000 ",Baldwin,
Department of Health & Human Services,Health Resources and Services Administration, OR,Confederated Tribes of Coos, facilities and equipment to renovate a behavioral health facility,"$1,030,000 ",Merkley, Wyden
Department of Health & Human Services,Health Resources and Services Administration, SC,Conway Medical Center, acquisition of Emergency Department equipment,"$1,410,000 ",Graham,
Department of Health & Human Services,Health Resources and Services Administration, NH,Coos County Administration, facilities and equipment to improve building security,"$415,000 ",Shaheen,
Department of Health & Human Services,Health Resources and Services Administration, AL,Coosa County Emergency Medical Service, equipment for purchase of new ambulance,"$300,000 ",Britt,
Department of Health & Human Services,Health Resources and Services Administration, AZ,Copper Canyon Fire & Medical District," equipment to purchase an ambulance, power load system and gurney","$320,000 ",Gallego, Kelly
Department of Health & Human Services,Health Resources and Services Administration, AK,Copper River EMS Council, support Copper River EMS Council for providing emergency health services,"$291,000 ",Murkowski,
Department of Health & Human Services,Health Resources and Services Administration, AK,Cordova Community Medical Center, facilities and equipment for critical infrastructure and medical equipment upgrades,"$3,000,000 ",Murkowski,
Department of Health & Human Services,Health Resources and Services Administration, SD,Coteau des Prairies Hospital, facilities and equipment for replacement and installation of boilers and pump systems,"$1,099,000 ",Rounds,
Department of Health & Human Services,Health Resources and Services Administration, SD,Coteau des Prairies Hospital, facilities and equipment for replacement and installation of chiller system,"$683,000 ",Rounds,
Department of Health & Human Services,Health Resources and Services Administration, NH,Cottage Hospital, facilities and equipment to remove and replace an oil tank,"$76,000 ",Shaheen,
Department of Health & Human Services,Health Resources and Services Administration, NH,County of Cheshire Administration, facilities and equipment to install an emergency communication system,"$936,000 ",Shaheen,
Department of Health & Human Services,Health Resources and Services Administration, CA,County of Mono, facilities and equipment to renovate emergency facilities,"$1,340,000 ",Padilla, Schiff
Department of Health & Human Services,Health Resources and Services Administration, GA,Crisp Regional Hospital, facilities and equipment to replace boilers and fire alarm systems,"$1,000,000 ",Ossoff, Warnock
Department of Health & Human Services,Health Resources and Services Administration, VA,CrossOver Healthcare Ministry, facilities and equipment to expand access to dental services,"$400,000 ",Kaine, Warner
Department of Health & Human Services,Health Resources and Services Administration, AL,Cullman Regional Medical Center, facilities and equipment to purchase and install surgical robot,"$2,500,000 ",Britt,
Department of Health & Human Services,Health Resources and Services Administration, VA,Daily Planet Health Services, facilities and equipment to replace HVAC systems,"$351,000 ",Kaine, Warner
Department of Health & Human Services,Health Resources and Services Administration, NM,Dar a Luz Birth Center, facilities and equipment to expand a birth center,"$2,677,000 ",Heinrich,
Department of Health & Human Services,Health Resources and Services Administration, NH,Dartmouth Health, facilities and equipment to construct a perinatal substance use stabilization unit,"$900,000 ",Shaheen,
Department of Health & Human Services,Health Resources and Services Administration, RI,Day One, facilities and equipment to repair a roof,"$990,000 ",Whitehouse,
Department of Health & Human Services,Health Resources and Services Administration, DE,Delaware Health Empowerment Coalition, facilities and equipment to construct primary care clinics,"$2,600,000 ",Blunt Rochester, Coons
Department of Health & Human Services,Health Resources and Services Administration, ME,Delta Ambulance, equipment to purchase new ambulances and emergency medical equipment,"$655,000 ",Collins,
Department of Health & Human Services,Health Resources and Services Administration, CO,Denver Health & Hospital Authority, facilities and equipment for building improvements,"$3,000,000 ",Bennet, Hickenlooper
Department of Health & Human Services,Health Resources and Services Administration, OR,Deschutes County, facilities and equipment to construct a child psychiatric facility,"$1,304,000 ",Merkley, Wyden
Department of Health & Human Services,Health Resources and Services Administration, AZ,Desert Hills Fire District, equipment to improve cardiac care,"$210,000 ",Gallego, Kelly
Department of Health & Human Services,Health Resources and Services Administration, SC,Dorchester County, facilities and equipment for site work to support a mobile MRI unit and the acquisition of x-ray machinery,"$709,000 ",Graham,
Department of Health & Human Services,Health Resources and Services Administration, MA,DotHouse Health Inc., facilities and equipment to replace HVAC systems and roofing,"$486,000 ",Markey, Warren
Department of Health & Human Services,Health Resources and Services Administration, VA,Dr. Terry Sinclair Health Clinic, facilities and equipment to renovate an exam room,"$490,000 ",Kaine, Warner
Department of Health & Human Services,Health Resources and Services Administration, IL,Eagle View Community Health System," facilities and equipment, including a mobile clinic","$525,000 ",Duckworth,
Department of Health & Human Services,Health Resources and Services Administration, WA,East Adams Rural Health, facilities and equipment to construct a health and wellness center,"$1,500,000 ",Cantwell,
Department of Health & Human Services,Health Resources and Services Administration, NJ,Easter Seals New Jersey Inc., equipment and supplies to improve accessibility,"$241,000 ",Booker, Kim
Department of Health & Human Services,Health Resources and Services Administration, ME,Eastern Maine Community College, facilities and equipment for construction/ renovation of nursing and allied health facility,"$6,510,000 ",Collins,
Department of Health & Human Services,Health Resources and Services Administration, ME,Eastern Maine Healthcare Systems DBA Northern Light Health, acquisition of labor and delivery equipment,"$1,599,000 ",Collins,
Department of Health & Human Services,Health Resources and Services Administration, GA,Emory University, equipment for a neonatal intensive care unit,"$476,000 ",Ossoff, Warnock
Department of Health & Human Services,Health Resources and Services Administration, WA,Evergreen Treatment Services, facilities and equipment to increase access to substance use disorder treatment,"$3,040,000 ",Cantwell,
Department of Health & Human Services,Health Resources and Services Administration, WA,EvergreenHealth Monroe, facilities and equipment to build and renovate specialty care spaces,"$1,500,000 ",Cantwell, Murray
Department of Health & Human Services,Health Resources and Services Administration, VA,Fairfax County Government, facilities and equipment to construct a regional crisis facility to address behavioral health needs,"$850,000 ",Kaine, Warner
Department of Health & Human Services,Health Resources and Services Administration, CT,Family & Children’s Aid Inc, facilities and equipment to increase accessibility of a clinic,"$350,000 ",Blumenthal, Murphy
Department of Health & Human Services,Health Resources and Services Administration, WI,Family and Children’s Center of Wisconsin, facilities and equipment to construct a mental health diagnostic center,"$1,000,000 ",Baldwin,
Department of Health & Human Services,Health Resources and Services Administration, WI,Family Health Center of Marshfield Inc, facilities and equipment to construct a comprehensive primary care clinic,"$2,000,000 ",Baldwin,
Department of Health & Human Services,Health Resources and Services Administration, DE,Family Justice Center Council, facilities and equipment to provide services for victims of abuse,"$2,600,000 ",Blunt Rochester,
Department of Health & Human Services,Health Resources and Services Administration, AL,Faulkner University, equipment for mobile care clinics,"$1,305,000 ",Britt,
Department of Health & Human Services,Health Resources and Services Administration, MI,Ferris State University, facilities and equipment to renovate clinical and teaching space,"$1,950,000 ",Peters,
Department of Health & Human Services,Health Resources and Services Administration, SC,Florence-Darlington Technical College, acquisition of nursing equipment to support Nursing and Allied Health Programs,"$1,000,000 ",Graham,
Department of Health & Human Services,Health Resources and Services Administration, GA,Floyd Healthcare Management, facilities and equipment to improve diagnostic services,"$1,500,000 ",Ossoff, Warnock
Department of Health & Human Services,Health Resources and Services Administration, MD,For All Seasons Inc, facilities and equipment to expand access to behavioral health services,"$1,000,000 ",Alsobrooks, Van Hollen
Department of Health & Human Services,Health Resources and Services Administration, WA,Frontier Behavioral Health, facilities and equipment to construct a primary care and behavioral health clinic,"$2,000,000 ",Cantwell,
Department of Health & Human Services,Health Resources and Services Administration, NM,Gallup Community Health, facilities and equipment to expand behavioral and specialty care services,"$750,000 ",Heinrich,Lujan
Department of Health & Human Services,Health Resources and Services Administration, PA,Gannon University," facilities and equipment for construction of two laboratories for cancer treatment, education, and research","$500,000 ",McCormick,
Department of Health & Human Services,Health Resources and Services Administration, GA,Georgia State University, equipment to purchase a mobile clinic,"$1,350,000 ",Ossoff,
Department of Health & Human Services,Health Resources and Services Administration, WI,GLITC Adolescent Wellness Recovery Center, facilities and equipment to construct a residential treatment center,"$4,700,000 ",Baldwin,
Department of Health & Human Services,Health Resources and Services Administration, VA,Gloucester Mathews Care Clinic, facilities and equipment to create a nursing station and improve building infrastructure,"$151,000 ",Kaine, Warner
Department of Health & Human Services,Health Resources and Services Administration, AZ,Golder Ranch Fire District, equipment to purchase a vehicle and rescue equipment,"$200,000 ",Gallego, Kelly
Department of Health & Human Services,Health Resources and Services Administration, GA,Grady Memorial Hospital Corporation, equipment to purchase a mobile unit,"$250,000 ",Warnock,
Department of Health & Human Services,Health Resources and Services Administration, MN,Grand Itasca Clinic and Hospital, facilities and equipment to renovate an emergency department,"$1,800,000 ",Klobuchar, Smith
Department of Health & Human Services,Health Resources and Services Administration, OR,Grande Ronde Hospital, equipment to provide nuclear medicine services,"$1,356,000 ",Merkley, Wyden
Department of Health & Human Services,Health Resources and Services Administration, WV,Grant County Courthouse, equipment for purchase of new ambulance,"$310,000 ",Capito, Justice
Department of Health & Human Services,Health Resources and Services Administration, WA,Grant County Public Hospital District No 1, facilities and equipment to support a family medicine residency program,"$2,000,000 ",Cantwell,
Department of Health & Human Services,Health Resources and Services Administration, AK,Greater Fairbanks Community Hospital Foundation, facilities and equipment for construction of an inpatient psychiatric unit,"$3,000,000 ",Murkowski,
Department of Health & Human Services,Health Resources and Services Administration, SC,Greenwood Genetic Center, acquisition of Alzheimer’s research equipment,"$1,106,000 ",Graham,
Department of Health & Human Services,Health Resources and Services Administration, AL,Grove Hill Memorial Hospital," acquisition of mammography, CT, ultrasound, and EKG equipment","$1,000,000 ",Tuberville,
Department of Health & Human Services,Health Resources and Services Administration, WI,Gunderson La Crosse Medical Center Campus, facilities and equipment to renovate a substance use disorder treatment facility,"$750,000 ",Baldwin,
Department of Health & Human Services,Health Resources and Services Administration, HI,Hale Makua Health Services, equipment to replace patient beds,"$1,850,000 ",Hirono, Schatz
Department of Health & Human Services,Health Resources and Services Administration, OR,Harney District Hospital, facilities and equipment for building infrastructure improvements,"$1,250,000 ",Merkley, Wyden
