Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Department of Transportation,Highway Infrastructure Programs,NV,NV,Nevada Way Rehabilitation,"$850,000.00 ",Titus,
Department of Transportation,Highway Infrastructure Programs,NV,NV,SR 147 Improvements,"$1,000,000.00 ",Titus,
Department of Transportation,Highway Infrastructure Programs,NV,NV,Charleston Boulevard Preservation,"$1,200,000.00 ",Titus,
Department of Transportation,Highway Infrastructure Programs,NY,NY,Jamaica Bay Greenway Gateway Link,"$250,000.00 ",Jeffries,
Department of Transportation,Highway Infrastructure Programs,NY,NY,Reconstruction of Broadway,"$1,850,000.00 ",Jeffries, Velazquez
Department of Transportation,Highway Infrastructure Programs,NY,NY,Como Park Ave./Borden Rd. Roundabout,"$250,000.00 ",Kennedy (NY),
Department of Transportation,Highway Infrastructure Programs,NY,NY,Losson Rd./Borden Rd. Roundabout,"$250,000.00 ",Kennedy (NY),
Department of Transportation,Highway Infrastructure Programs,NY,NY,"Woodhaven Blvd SBS, Segment B: Union Turnpike to 107th Ave","$850,000.00 ",Velazquez,
Department of Transportation,Highway Infrastructure Programs,NY,NY,Liberty Avenue Plaza,"$850,000.00 ",Velazquez,
Department of Transportation,Highway Infrastructure Programs,OH,OH,Sunbury Parkway Phase D Project,"$1,000,000.00 ",Balderson,
Department of Transportation,Highway Infrastructure Programs,OH,OH,"Ety Road South Improvement Project, City of Lancaster","$2,000,000.00 ",Balderson,
Department of Transportation,Highway Infrastructure Programs,OH,OH,"Thornwood Drive South Improvement Project, City of Heath","$4,000,000.00 ",Balderson,
Department of Transportation,Highway Infrastructure Programs,OH,OH,Morse Road Improvements,"$250,000.00 ",Beatty,
Department of Transportation,Highway Infrastructure Programs,OH,OH,Cooke Road Reconstruction,"$250,000.00 ",Beatty,
Department of Transportation,Highway Infrastructure Programs,OH,OH,Sancus Boulevard Shared Use Path,"$850,000.00 ",Beatty,
Department of Transportation,Highway Infrastructure Programs,OH,OH,Havens Corners Road Roundabout,"$1,000,000.00 ",Beatty,
Department of Transportation,Highway Infrastructure Programs,OH,OH,Brooksedge Boulevard Mobility Improvements,"$1,200,000.00 ",Beatty,
Department of Transportation,Highway Infrastructure Programs,OH,OH,Stabilization and Rehabilitation of Irishtown Bend,"$1,200,000.00 ",Brown,
Department of Transportation,Highway Infrastructure Programs,OH,OH,East 66th Complete Street (DREAM 66),"$1,850,000.00 ",Brown,
Department of Transportation,Highway Infrastructure Programs,OH,OH,Franklin US 33 Corridor,"$2,000,000.00 ",Carey,
Department of Transportation,Highway Infrastructure Programs,OH,OH,The Emerald Connector,"$3,000,000.00 ",Carey,
Department of Transportation,Highway Infrastructure Programs,OH,OH,"Millikin Road at Interstate 75, Future Exit 26 @ I–75","$2,200,000.00 ",Davidson,
Department of Transportation,Highway Infrastructure Programs,OH,OH,Village of Gibsonburg Downtown Improvement Project,"$250,000.00 ",Kaptur,
Department of Transportation,Highway Infrastructure Programs,OH,OH,Chessie Circle Trail Buildout,"$1,000,000.00 ",Kaptur,
Department of Transportation,Highway Infrastructure Programs,OH,OH,State Route 741 Improvement Project,"$250,000.00 ",Landsman,
Department of Transportation,Highway Infrastructure Programs,OH,OH,Downtown Lebanon Pedestrian Safety Improvement Project,"$600,000.00 ",Landsman,
Department of Transportation,Highway Infrastructure Programs,OH,OH,State Route 48 Improvement Project,"$2,000,000.00 ",Landsman,
Department of Transportation,Highway Infrastructure Programs,OH,OH,Van Wert US 30 Interchange,"$1,500,000.00 ",Latta,
Department of Transportation,Highway Infrastructure Programs,OH,OH,Solon Ohio Diverging Diamond Project,"$2,000,000.00 ",Miller (OH),
Department of Transportation,Highway Infrastructure Programs,OH,OH,City of North Royalton—Royalton Road Reconstruction Phase II,"$4,000,000.00 ",Miller (OH),
Department of Transportation,Highway Infrastructure Programs,OH,OH,US 224 Corridor Safety Enhancements,"$1,500,000.00 ",Rulli,
Department of Transportation,Highway Infrastructure Programs,OH,OH,Blaine Barton Road Intersection Safety Improvements,"$3,840,000.00 ",Rulli,
Department of Transportation,Highway Infrastructure Programs,OH,OH,Clinton Road Rehabilitation Project,"$250,000.00 ",Sykes,
Department of Transportation,Highway Infrastructure Programs,OK,OK,Beaver Shoulder Construction,"$1,000,000.00 ",Lucas,
Department of Transportation,Highway Infrastructure Programs,OK,OK,Pawnee Shoulder Construction,"$1,000,000.00 ",Lucas,
Department of Transportation,Highway Infrastructure Programs,OK,OK,Harmon Shoulder Construction,"$1,000,000.00 ",Lucas,
Department of Transportation,Highway Infrastructure Programs,OK,OK,Sweetwater Shoulder,"$4,000,000.00 ",Lucas,
Department of Transportation,Highway Infrastructure Programs,OR,OR,Broadway Bridge Deck Replacement,"$250,000.00 ",Bonamici,
Department of Transportation,Highway Infrastructure Programs,OR,OR,Williams Creek Trestle and Learning Mile,"$250,000.00 ",Bonamici,
Department of Transportation,Highway Infrastructure Programs,OR,OR,Gateway to OMSI,"$850,000.00 ",Bonamici,
Department of Transportation,Highway Infrastructure Programs,OR,OR,OR   126:   35th   Street   Signal   and   Pedestrian   Improvements (Redmond),"$250,000.00 ",Bynum,
Department of Transportation,Highway Infrastructure Programs,OR,OR,Roundabout at Shaff and Wilco Road,"$850,000.00 ",Bynum,
Department of Transportation,Highway Infrastructure Programs,OR,OR,Kellogg Creek OR–99E Community Project (Kellogg Project),"$850,000.00 ",Bynum,
Department of Transportation,Highway Infrastructure Programs,OR,OR,Lower Ce´sar E. Cha´vez Boulevard Safety and Resilience Project,"$250,000.00 ",Dexter,
Department of Transportation,Highway Infrastructure Programs,OR,OR,Safer Sandy: Safety Improvements to Sandy Blvd,"$850,000.00 ",Dexter,
Department of Transportation,Highway Infrastructure Programs,OR,OR,65th and Borland Intersection Improvement Project,"$250,000.00 ",Salinas,
Department of Transportation,Highway Infrastructure Programs,OR,OR,Verda Lane Pedestrian Safety Project,"$850,000.00 ",Salinas,
Department of Transportation,Highway Infrastructure Programs,OR,OR,OR 99W Corridor Safety and Intersection Improvements,"$850,000.00 ",Salinas,
Department of Transportation,Highway Infrastructure Programs,PA,PA,SR 6 Over Wallenpaupack Creek Bridge,"$2,000,000.00 ",Bresnahan,
Department of Transportation,Highway Infrastructure Programs,PA,PA,Route 309/Mundy Street Crossroads Improvement Project,"$2,500,000.00 ",Bresnahan,
Department of Transportation,Highway Infrastructure Programs,PA,PA,Lederach  PA  113  (Harleysville  Pike  Alternate  Route)  Shared  Use PathPhase 1 Project,"$250,000.00 ",Dean,
Department of Transportation,Highway Infrastructure Programs,PA,PA,Verona Road Bridge Replacement,"$850,000.00 ",Deluzio,
Department of Transportation,Highway Infrastructure Programs,PA,PA,Crafton Blvd Streetscape—School Plaza,"$1,338,581.00 ",Deluzio,
Department of Transportation,Highway Infrastructure Programs,PA,PA,Freeport  Road  Safety  Improvement  and  Brilliant  Avenue  Realignment,"$2,000,000.00 ",Deluzio,
Department of Transportation,Highway Infrastructure Programs,PA,PA,Route 30 Corridor Improvements Project,"$3,150,000.00 ",Houlahan,
Department of Transportation,Highway Infrastructure Programs,PA,PA,"SR18, Wilmington Road Betterment","$2,000,000.00 ",Kelly (PA),
Department of Transportation,Highway Infrastructure Programs,PA,PA,"SR 422, Business 422 to Butler County Line","$3,000,000.00 ",Kelly (PA),
Department of Transportation,Highway Infrastructure Programs,PA,PA,Ekastown West 3R Rehabilitation,"$7,000,000.00 ",Kelly (PA),
Department of Transportation,Highway Infrastructure Programs,PA,PA,City of Jeannette—2nd Street Bridge Reconstruction,"$850,000.00 ",Lee (PA),
Department of Transportation,Highway Infrastructure Programs,PA,PA,"Versailles Avenue Viaduct Replacement—McKeesport, PA","$850,000.00 ",Lee (PA),
Department of Transportation,Highway Infrastructure Programs,PA,PA,Lower Saucon Road Bridge Replacement,"$242,000.00 ",Mackenzie,
Department of Transportation,Highway Infrastructure Programs,PA,PA,Rex Road Bridge Repairs,"$375,000.00 ",Mackenzie,
Department of Transportation,Highway Infrastructure Programs,PA,PA,Lenni Road Quad Gate Installation,"$250,000.00 ",Scanlon,
Department of Transportation,Highway Infrastructure Programs,PA,PA,SR420 Advance Warning Safety Improvements,"$425,500.00 ",Scanlon,
Department of Transportation,Highway Infrastructure Programs,PA,PA,Third Street Pedestrian and Bicycle Bridge,"$500,000.00 ",Scanlon,
Department of Transportation,Highway Infrastructure Programs,RI,RI,Greystone Bridge Reconstruction,"$1,000,000.00 ",Amo,
Department of Transportation,Highway Infrastructure Programs,RI,RI,Wood Street Stormwater and Flooding Mitigation Project,"$1,500,000.00 ",Magaziner,
Department of Transportation,Highway Infrastructure Programs,TN,TN,Loudon Co I–75 Widening from Exit 81 to I–40,"$1,000,000.00 ",Burchett,
Department of Transportation,Highway Infrastructure Programs,TN,TN,I–69 Troy Bypass North & South,"$5,000,000.00 ",Kustoff,
Department of Transportation,Highway Infrastructure Programs,TN,TN,New Middleton Elementary/New Middleton Highway Lane Addition,"$2,000,000.00 ",Rose,
Department of Transportation,Highway Infrastructure Programs,TX,TX,Study of Lamesa Improvements/Interstate Upgrade Option,"$640,000.00 ",Arrington,
Department of Transportation,Highway Infrastructure Programs,TX,TX,US–87,"$5,000,000.00 ",Arrington,
Department of Transportation,Highway Infrastructure Programs,TX,TX,Connell Street Widening Project,"$9,680,000.00 ",Carter (TX),
Department of Transportation,Highway Infrastructure Programs,TX,TX,SH 195 Project,"$10,000,000.00 ",Carter (TX),
Department of Transportation,Highway Infrastructure Programs,TX,TX,Wirtz Dam Bridge Construction,"$10,000,000.00 ",Carter (TX),
Department of Transportation,Highway Infrastructure Programs,TX,TX,Sawdust Bridge Elevation,"$5,000,000.00 ",Crenshaw,
Department of Transportation,Highway Infrastructure Programs,TX,TX,City of Cedar Hill Loop 9 Highway Project,"$250,000.00 ",Crockett,
Department of Transportation,Highway Infrastructure Programs,TX,TX,"BOLT—Bridge Operations & Logistics Transformation, Pharr International Bridge","$3,520,000.00 ",De La Cruz,
Department of Transportation,Highway Infrastructure Programs,TX,TX,Connecting Windsor Park: Belfast Bridge & Trail,"$2,000,000.00 ",Doggett,
Department of Transportation,Highway Infrastructure Programs,TX,TX,West Bouldin Creek Trail Extension,"$3,500,000.00 ",Doggett,
Department of Transportation,Highway Infrastructure Programs,TX,TX,Paso Del Norte Trail—Socorro Spine Alignment,"$500,000.00 ",Escobar,
Department of Transportation,Highway Infrastructure Programs,TX,TX,Segundo Barrio Safe Streets,"$1,000,000.00 ",Escobar,
Department of Transportation,Highway Infrastructure Programs,TX,TX,Ysleta Port of Entry Engineering Design,"$3,100,000.00 ",Escobar,
Department of Transportation,Highway Infrastructure Programs,TX,TX,I–10 Deck Plaza,"$3,150,000.00 ",Escobar,
Department of Transportation,Highway Infrastructure Programs,TX,TX,Interstate Planning Funds for City Location Study at Dumas,"$1,000,000.00 ",Jackson (TX),
Department of Transportation,Highway Infrastructure Programs,TX,TX,SL  335—Upgrade  to  Freeway—Amarillo  West  of  FM  2590  to South to FM 2186,"$1,000,000.00 ",Jackson (TX),
Department of Transportation,Highway Infrastructure Programs,TX,TX,Texas Spur 228 Widening Project,"$1,880,000.00 ",Jackson (TX),
Department of Transportation,Highway Infrastructure Programs,TX,TX,Lakewood Park Pedestrian Bridge & Accessibility,"$250,000.00 ",Johnson (TX),
Department of Transportation,Highway Infrastructure Programs,TX,TX,Hemlock Avenue Safe Streets Enhancements,"$850,000.00 ",Johnson (TX),
Department of Transportation,Highway Infrastructure Programs,TX,TX,Ferguson Road Corridor Safety Enhancements,"$850,000.00 ",Johnson (TX),
Department of Transportation,Highway Infrastructure Programs,TX,TX,Centennial at Buckingham Intersection Improvements,"$1,000,000.00 ",Johnson (TX),
Department of Transportation,Highway Infrastructure Programs,TX,TX,White Rock Lake Trail Relocation,"$1,200,000.00 ",Johnson (TX),
Department of Transportation,Highway Infrastructure Programs,TX,TX,Marshall Relief Route,"$2,000,000.00 ",Moran,
Department of Transportation,Highway Infrastructure Programs,TX,TX,Future  Interstate  Planning  between  San  Angelo  and  Sonora  (Future Interstate Segment FIS 0159–01),"$1,000,000.00 ",Pfluger,
Department of Transportation,Highway Infrastructure Programs,TX,TX,Mineral Wells Bridge,"$1,000,000.00 ",Pfluger,
Department of Transportation,Highway Infrastructure Programs,TX,TX,Rancier Avenue Reconstruction Project,"$1,000,000.00 ",Pfluger,
Department of Transportation,Highway Infrastructure Programs,TX,TX,Future  I–69/  U.S.  59  Feasibility  Study  and  Environmental  Clearance,"$3,000,000.00 ",Sessions,
Department of Transportation,Highway Infrastructure Programs,TX,TX,Corridor A2 Segment—Advanced Technology Route,"$7,000,000.00 ",Sessions,
Department of Transportation,Highway Infrastructure Programs,TX,TX,City of Dallas,"$250,000.00 ",Van Duyne,
Department of Transportation,Highway Infrastructure Programs,TX,TX,Pipeline Rd,"$1,000,000.00 ",Van Duyne,
Department of Transportation,Highway Infrastructure Programs,TX,TX,City of Colleyville,"$2,000,000.00 ",Van Duyne,
Department of Transportation,Highway Infrastructure Programs,TX,TX,Bachman  Area  Transportation  Plan  Implementation—Safety  Improvements to Improve Neighborhood Access to Bachman Lake and the Bachman Creek Greenbelt,"$250,000.00 ",Veasey,
Department of Transportation,Highway Infrastructure Programs,UT,UT,"Brush Wellman Road Project, Juab","$1,000,000.00 ",Maloy,
Department of Transportation,Highway Infrastructure Programs,UT,UT,Quitchupah Creek Road Rehabilitation Project,"$3,000,000.00 ",Maloy,
Department of Transportation,Highway Infrastructure Programs,UT,UT,Droubay Road Project,"$5,200,000.00 ",Maloy,
Department of Transportation,Highway Infrastructure Programs,UT,UT,Utah Ogden Canyon Trail,"$1,000,000.00 ",Moore (UT),
Department of Transportation,Highway Infrastructure Programs,UT,UT,"Summit County, Utah Kimball Junction Overpass","$1,000,000.00 ",Moore (UT),
Department of Transportation,Highway Infrastructure Programs,UT,UT,Utah Paradise Parkway Corridor,"$2,000,000.00 ",Moore (UT),
Department of Transportation,Highway Infrastructure Programs,UT,UT,South Jordan City Bingham Creek Trail Project,"$500,000.00 ",Owens,
Department of Transportation,Highway Infrastructure Programs,UT,UT,Lehi Freeway Evaluation Project,"$500,000.00 ",Owens,
Department of Transportation,Highway Infrastructure Programs,UT,UT,Salem City Road Transportation Infrastructure Project,"$1,000,000.00 ",Owens,
Department of Transportation,Highway Infrastructure Programs,VA,VA,Mason Neck Trail Extension (Southern Segment),"$250,000.00 ",Beyer,
Department of Transportation,Highway Infrastructure Programs,VA,VA,Roadside and Trailside Comfort Station at Gravelly Point,"$550,000.00 ",Beyer,
Department of Transportation,Highway Infrastructure Programs,VA,VA,S. George Mason Dr. Multimodal Improvements,"$850,000.00 ",Beyer,
Department of Transportation,Highway Infrastructure Programs,VA,VA,Interstate 81 Corridor—Widening,"$17,000,000.00 ",Cline,
Department of Transportation,Highway Infrastructure Programs,VA,VA,Fairfax County Transportation Safety Initiative—Springfield,"$3,150,000.00 ",Connolly,
Department of Transportation,Highway Infrastructure Programs,VA,VA,Corridor Q—U.S. Connector Phase II Paving Project,"$3,000,000.00 ",Griffith,
Department of Transportation,Highway Infrastructure Programs,VA,VA,I–264/Independence Blvd. Interchange Improvements,"$10,000,000.00 ",Kiggans,
Department of Transportation,Highway Infrastructure Programs,VA,VA,I–95 and Willis Road Interchange Improvements Phase 1,"$850,000.00 ",McClellan,
Department of Transportation,Highway Infrastructure Programs,VA,VA,Route 15 Trail and Crossing at Catharpin Creek,"$850,000.00 ",Subramanyam,
Department of Transportation,Highway Infrastructure Programs,VA,VA,Plaza Street Sidewalk Safety Improvements,"$1,000,000.00 ",Subramanyam,
Department of Transportation,Highway Infrastructure Programs,VA,VA,Route 15/Braddock Road Roundabout,"$3,150,000.00 ",Subramanyam,
Department of Transportation,Highway Infrastructure Programs,VA,VA,I–95/Exit 126 SB Onramp Improvements,"$250,000.00 ",Vindman,
Department of Transportation,Highway Infrastructure Programs,VA,VA,Leeland Road Improvement Project,"$250,000.00 ",Vindman,
Department of Transportation,Highway Infrastructure Programs,VA,VA,Harrison Road/Salem Church Road Intersection Improvements,"$850,000.00 ",Vindman,
Department of Transportation,Highway Infrastructure Programs,VA,VA,Pedestrian Bridge Route 1 VRE Station Connection,"$1,000,000.00 ",Vindman,
Department of Transportation,Highway Infrastructure Programs,VA,VA,Powhite Parkway Extension Phase II—Preliminary Engineering,"$8,000,000.00 ",Wittman,
Department of Transportation,Highway Infrastructure Programs,VT,VT,Burlington—Winooski River Bridge Replacement,"$850,000.00 ",Balint,
Department of Transportation,Highway Infrastructure Programs,WA,WA,"Bigelow-Sullivan Corridor: Sullivan and Trent Interchange Project, City of Spokane Valley","$4,000,000.00 ",Baumgartner,
Department of Transportation,Highway Infrastructure Programs,WA,WA,156th Street NE Railroad Overcrossing,"$250,000.00 ",DelBene,
Department of Transportation,Highway Infrastructure Programs,WA,WA,SR–531 Trail,"$850,000.00 ",DelBene,
Department of Transportation,Highway Infrastructure Programs,WA,WA,Alderwood Mall Parkway: SR525 to 168th St SW,"$1,000,000.00 ",DelBene,
Department of Transportation,Highway Infrastructure Programs,WA,WA,City of Shoreline Trail Along the Rail Project,"$850,000.00 ",Jayapal,
Department of Transportation,Highway Infrastructure Programs,WA,WA,"Pepin   Flood,   Agriculture,   Salmon,   and   Safety   Transportation (FASST) Project","$1,000,000.00 ",Larsen,
Department of Transportation,Highway Infrastructure Programs,WA,WA,The Port of Warden Road Project,"$2,500,000.00 ",Newhouse,
Department of Transportation,Highway Infrastructure Programs,WA,WA,The Wenatchi Landing Interchange Improvement Project,"$10,000,000.00 ",Newhouse,
Department of Transportation,Highway Infrastructure Programs,WA,WA,54th Ave E and Taylor Way Corridor Improvements,"$500,000.00 ",Randall,
Department of Transportation,Highway Infrastructure Programs,WA,WA,"Kittitas County I–90 Widening—Kittitas County, WA, WA–08","$2,000,000.00 ",Schrier,
Department of Transportation,Highway Infrastructure Programs,WA,WA,Airport Station Area Pedestrian Improvements Project,"$250,000.00 ",Smith (WA),
Department of Transportation,Highway Infrastructure Programs,WA,WA,Bellevue   Grand   Connection:   I–405   Crossing—Downtown   to Eastrail,"$2,000,000.00 ",Smith (WA),
Department of Transportation,Highway Infrastructure Programs,WI,WI,Waukesha County Trunk Highway O/Mooreland Road Construction,"$5,500,000.00 ",Fitzgerald,
Department of Transportation,Highway Infrastructure Programs,WI,WI,Great Sauk State Trail Bicycle Rail Trail Connection,"$1,200,000.00 ",Pocan,
Department of Transportation,Highway Infrastructure Programs,WI,WI,Monroe County CTH ET Multimodal & Freight Corridor,"$8,455,000.00 ",Van Orden,
Department of Transportation,Highway Infrastructure Programs,WV,WV,Market Street Bridge,"$1,000,000.00 ",Moore (WV),
Department of Transportation,Highway Infrastructure Programs,WV,WV,Northern Parkway Improvements,"$2,000,000.00 ",Moore (WV),
Department of Transportation,Highway Infrastructure Programs,WV,WV,WVDOH District 4 City Bridges,"$5,000,000.00 ",Moore (WV),
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,CA,Southern California Regional Rail Authority,Southern California Regional Railroad Authority (Metrolink) Arroyo Simi Bridges Scour Mitigation Project,"$250,000.00 ",Brownley,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,CA,North County Transit District,"Positive  Train  Control  Rail  Safety  Enhancement  Project,  Oceanside, CA","$600,000.00 ",Levin,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,CA,City of Carlsbad,"Carlsbad Village Railroad Double Track Trenching, Carlsbad, CA","$1,000,000.00 ",Levin,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,CA,San Diego Association of Governments (SANDAG),LOSSAN Rail Bridge Replacements,"$2,000,000.00 ",Peters,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,CA,City of Beaumont,Pennsylvania Avenue Grade Separation Project,"$2,000,000.00 ",Ruiz,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,FL,City of Cocoa,Cocoa Multi-Modal Passenger Station,"$2,000,000.00 ",Haridopolos,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,FL,City of Boca Raton,Jeffrey Street Highway Grade Crossing Project,"$2,000,000.00 ",Moskowitz,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,IL,City of Des Plaines,Algonquin Rd Grade Separation,"$1,800,000.00 ",Quigley,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,IN,Town of McCordsville,Mt. Comfort Road Regional Underpass,"$2,000,000.00 ",Shreve,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,LA,New Orleans Public Belt Railroad,Bywater Rail Relocation Project,"$1,200,000.00 ",Carter (LA),
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,LA,Lake Charles Harbor & Terminal District (Port of Lake Charles),Industrial   Park   East   Industrial   Lead   Railroad   Rehabilitation Project,"$1,800,000.00 ",Higgins,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,MA,Massachusetts Department of Transportation,Knowledge Corridor Positive Train Control,"$1,200,000.00 ",Neal,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,MD,Maryland Department of Transportation,Enhancing Eastern Shore Freight Rail Growth and Reliability,"$8,000,000.00 ",Harris,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,MI,City of Detroit,Detroit Intermodal Passenger Station,"$500,000.00 ",Thanedar,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,MN,City of Shakopee,City of Shakopee Downtown Quiet Zone Improvements,"$850,000.00 ",Craig,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,MN,City of Minneapolis,Logan Park Rail Crossing Improvements,"$250,000.00 ",Omar,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,MS,George County,Coastal Railroad Rehabilitation and Velocity Improvement Project,"$4,000,000.00 ",Ezell,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,NC,North Carolina Department of Transportation,Charlotte Gateway Station,"$500,000.00 ",Adams,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,NC,Town of Tabor City,Tabor City Railroad Improvements,"$900,000.00 ",Rouzer,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,TX,City of Houston (Houston Public Works),East End Railway Improvement Project,"$850,000.00 ",Garcia (TX),
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,VA,Virginia Passenger Rail Authority,Alexandria Fourth Track and Related Infrastructure Projects,"$250,000.00 ",Beyer,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,WA,Port of Pend Oreille,Locomotive Facility Upgrade Project,"$852,000.00 ",Baumgartner,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,WA,City of Monroe,Rail Grade Separation Feasibility Study and Design,"$850,000.00 ",DelBene,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,WA,Snohomish County,Everett Intermodal Yard and Curve Improvements,"$250,000.00 ",Larsen,
Department of Transportation,Consolidated Rail Infrastructure and Safety Improvements,WA,Port of Quincy (Grant County Port District 1),Port of Quincy Rail Infrastructure Expansion Project,"$2,500,000.00 ",Newhouse,
Department of Transportation,Transit Infrastructure Grants,CA,Omnitrans,Battery Electric Buses and Installation of Charging Infrastructure,"$1,000,000.00 ",Aguilar,
Department of Transportation,Transit Infrastructure Grants,CA,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority’s (Metro) Regional Bus Stop Enhancement Program,"$250,000.00 ",Brownley,
Department of Transportation,Transit Infrastructure Grants,CA,City of Simi Valley,City of Simi Valley Additional In-Route Charges for the Simi Valley Transit Hub Project,"$1,120,000.00 ",Brownley,
Department of Transportation,Transit Infrastructure Grants,CA,Foothill Transit,Foothill Transit Zero Emissions Bus Program,"$850,000.00 ",Chu,
Department of Transportation,Transit Infrastructure Grants,CA,Central Contra Costa Transit Authority,Solar Integrated Battery Storage System Project,"$2,000,000.00 ",DeSaulnier,
Department of Transportation,Transit Infrastructure Grants,CA,Los Angeles County Metropolitan Transportation Authority (LA Metro),Regional Bus Stop Enhancement Program,"$250,000.00 ",Friedman,
Department of Transportation,Transit Infrastructure Grants,CA,Southern California Regional Rail Authority (Metrolink),Updating  and  replacing  Customer  Information  Systems  at  Glendale and Burbank Stations,"$250,000.00 ",Friedman,
Department of Transportation,Transit Infrastructure Grants,CA,San Francisco Bay Area Rapid Transit District (BART),BART Station LED Lighting Program,"$500,000.00 ",Garamendi,
Department of Transportation,Transit Infrastructure Grants,CA,Los Angeles County Metropolitan Transportation Authority (Metro),Los Angeles Metro Regional Bus Stop Enhancement Program,"$250,000.00 ",Gomez,
Department of Transportation,Transit Infrastructure Grants,CA,County of Los Angeles,El Sol Shuttle Zero-Emission Battery Electric Buses,"$1,000,000.00 ",Gomez,
Department of Transportation,Transit Infrastructure Grants,CA,City of Culver City,Culver City Hydrogen Bus Project,"$850,000.00 ",Kamlager-Dove,
Department of Transportation,Transit Infrastructure Grants,CA,City of Cupertino,Silicon Valley Hopper On-Demand Microtransit Shuttle,"$1,200,000.00 ",Khanna,
Department of Transportation,Transit Infrastructure Grants,CA,Culver City,Hydrogen Bus Pilot Project,"$1,200,000.00 ",Lieu,
Department of Transportation,Transit Infrastructure Grants,CA,Sacramento Regional Transit District,City College & Fruitridge Light Rail Station Modernization,"$850,000.00 ",Matsui,
Department of Transportation,Transit Infrastructure Grants,CA,San Mateo County Transit District,SamTrans Bus Stop Amenity Improvements,"$250,000.00 ",Mullin,
Department of Transportation,Transit Infrastructure Grants,CA,Peninsula Corridor Joint Powers Board,Burlingame Broadway Grade Separation Project,"$3,150,000.00 ",Mullin,
Department of Transportation,Transit Infrastructure Grants,CA,North County Transit District,Bus Stop Security and Enhancement Project,"$250,000.00 ",Peters,
Department of Transportation,Transit Infrastructure Grants,CA,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metro’s Regional Bus Stop Enhancement Program,"$1,000,000.00 ",Rivas,
Department of Transportation,Transit Infrastructure Grants,CA,Foothill Transit,Foothill Transit Zero Emissions Bus Program,"$850,000.00 ",Sanchez,
Department of Transportation,Transit Infrastructure Grants,CA,San Francisco Bay Area Rapid Transit District (BART),Station LED Lighting Program,"$850,000.00 ",Simon,
Department of Transportation,Transit Infrastructure Grants,CA,Riverside Transit Agency,Veterans Riverside National Cemetery ADA Bus Stop Enhancement,"$250,000.00 ",Takano,
Department of Transportation,Transit Infrastructure Grants,CA,Riverside County Transportation Commission,Metrolink Double Track Project,"$850,000.00 ",Takano,
Department of Transportation,Transit Infrastructure Grants,CA,Riverside County Transportation Commission,Mead Valley Metrolink Station/Mobility Hub Project,"$850,000.00 ",Takano,
Department of Transportation,Transit Infrastructure Grants,CA,Los Angeles County Department of Public Works,Link  Willowbrook  and  King  Medical  Center  Shuttle  Zero  Emission Bus Project,"$850,000.00 ",Waters,
Department of Transportation,Transit Infrastructure Grants,CA,Southern California Regional Rail Authority,Modernizing Rail in CA–27 through Technology Improvements,"$250,000.00 ",Whitesides,
Department of Transportation,Transit Infrastructure Grants,CO,Regional Transportation District (RTD),Downtown Track Replacement,"$850,000.00 ",DeGette,
Department of Transportation,Transit Infrastructure Grants,CO,City of Lakewood,Colfax Transportation Safety Infrastructure Improvements,"$250,000.00 ",Pettersen,
Department of Transportation,Transit Infrastructure Grants,FL,Pinellas Suncoast Transit Authority,Ferry Dock at the St. Pete Pier,"$850,000.00 ",Castor,
Department of Transportation,Transit Infrastructure Grants,FL,Central Florida Regional Transportation Authority (LYNX),LYNX Bus Acquisition Project,"$500,000.00 ",Frost,
Department of Transportation,Transit Infrastructure Grants,FL,Central Florida Regional Transportation Authority (LYNX),LYNX Bus Shelter Program Project,"$850,000.00 ",Frost,
Department of Transportation,Transit Infrastructure Grants,FL,Pinellas Suncoast Transit Authority,Ferry Dock Reconstruction at Dunedin Marina,"$828,000.00 ",Luna,
